(0.02817325568414299, 0, 0)
(0.01892512443604116, 0, 0)
(0.009505604330418357, 0, 0)
(3.6739403974420595e-17, 0, 0)
(0.0, 0, 0)
(0.009505604330418266, 0, 0)
(0.018925124436041017, 0, 0)
(0.028173255684142966, 0, 0)
(0.03716624556603275, 0, 0)
(0.045822652172741035, 0, 0)
(0.05406408174555975, 0, 0)
(0.061815898622060515, 0, 0)
(0.06900790114821119, 0, 0)
(0.07557495743542583, 0, 0)
(0.08145759520503357, 0, 0)
(0.08660254037844387, 0, 0)
(0.09096319953545183, 0, 0)
(0.09450008187146684, 0, 0)
(0.09718115683235416, 0, 0)
(0.09898214418809327, 0, 0)
(0.0998867339183008, 0, 0)
(0.0998867339183008, 0, 0)
(0.09898214418809329, 0, 0)
(0.09718115683235416, 0, 0)
(0.09450008187146686, 0, 0)
(0.09096319953545184, 0, 0)
(0.08660254037844387, 0, 0)
(0.08145759520503358, 0, 0)
(0.07557495743542583, 0, 0)
(0.06900790114821119, 0, 0)
(0.06181589862206055, 0, 0)
(0.05406408174555978, 0, 0)
(0.04582265217274105, 0, 0)
(0.037166245566032756, 0, 0)
(0.028173255684143007, 0, 0)
(0.01892512443604105, 0, 0)
(0.009505604330418287, 0, 0)
(1.2246467991473533e-17, 0, 0)
(-0.009505604330418263, 0, 0)
(-0.018925124436040983, 0, 0)
(-0.028173255684142938, 0, 0)
(-0.037166245566032735, 0, 0)
(-0.04582265217274103, 0, 0)
(-0.054064081745559725, 0, 0)
(-0.061815898622060494, 0, 0)
(-0.06900790114821118, 0, 0)
(-0.07557495743542582, 0, 0)
(-0.08145759520503357, 0, 0)
(-0.08660254037844384, 0, 0)
(-0.09096319953545184, 0, 0)
(-0.09450008187146683, 0, 0)
(-0.09718115683235415, 0, 0)
(-0.09898214418809327, 0, 0)
(-0.0998867339183008, 0, 0)
(-0.0998867339183008, 0, 0)
(-0.09898214418809329, 0, 0)
(-0.09718115683235419, 0, 0)
(-0.09450008187146686, 0, 0)
(-0.09096319953545186, 0, 0)
(-0.0866025403784439, 0, 0)
(-0.08145759520503358, 0, 0)
(-0.07557495743542587, 0, 0)
(-0.0690079011482112, 0, 0)
(-0.06181589862206055, 0, 0)
(-0.05406408174555982, 0, 0)
(-0.04582265217274106, 0, 0)
(-0.037166245566032804, 0, 0)
(-0.02817325568414298, 0, 0)
(-0.018925124436041062, 0, 0)
(-0.009505604330418343, 0, 0)
(-2.4492935982947065e-17, 0, 0)
(0.009505604330418206, 0, 0)
(0.018925124436041014, 0, 0)
(0.028173255684142928, 0, 0)
(0.03716624556603268, 0, 0)
(0.04582265217274102, 0, 0)
(0.05406408174555971, 0, 0)
(0.061815898622060515, 0, 0)
(0.06900790114821118, 0, 0)
(0.07557495743542578, 0, 0)
(0.08145759520503357, 0, 0)
(0.08660254037844384, 0, 0)
(0.0909631995354518, 0, 0)
(0.09450008187146683, 0, 0)
(0.09718115683235415, 0, 0)
(0.09898214418809327, 0, 0)
(0.0998867339183008, 0, 0)
(0.0998867339183008, 0, 0)
(0.09898214418809329, 0, 0)
(0.09718115683235419, 0, 0)
(0.09450008187146686, 0, 0)
(0.0909631995354519, 0, 0)
(0.08660254037844392, 0, 0)
(0.0814575952050336, 0, 0)
(0.07557495743542582, 0, 0)
(0.06900790114821129, 0, 0)
(0.061815898622060564, 0, 0)
(0.05406408174555975, 0, 0)
(0.04582265217274115, 0, 0)
(0.03716624556603282, 0, 0)
(0.02817325568414299, 0, 0)
(0.01892512443604116, 0, 0)
(0.009505604330418357, 0, 0)
(3.6739403974420595e-17, 0, 0)
